代码,名称,涨停次数,最大连板,平均连板,炸板率,平均封板资金,涨停次数_norm,最大连板_norm,平均连板_norm,平均封板资金_norm,封板质量_norm,综合评分
600063,皖维高新,1,1,1.0,0.0,166841442.0,0.25,0.125,0.125,0.1381266688079758,1.0,33.32
688449,联芸科技,1,1,1.0,0.0,163652617.0,0.25,0.125,0.125,0.13548666660359787,1.0,33.28
002639,雪人集团,1,1,1.0,0.0,160162774.0,0.25,0.125,0.125,0.1325974540526009,1.0,33.24
002824,和胜股份,1,1,1.0,0.0,158317070.0,0.25,0.125,0.125,0.13106941076749457,1.0,33.22
600021,上海电力,1,1,1.0,0.0,155927529.0,0.25,0.125,0.125,0.1290911292664867,1.0,33.19
002348,高乐股份,1,1,1.0,0.0,155253530.0,0.25,0.125,0.125,0.12853313099259317,1.0,33.18
300489,光智科技,1,1,1.0,0.0,146166457.0,0.25,0.125,0.125,0.12101001738449513,1.0,33.07
002606,大连电瓷,1,1,1.0,0.0,139358807.0,0.25,0.125,0.125,0.1153740194835023,1.0,32.98
002210,飞马国际,1,1,1.0,0.0,131446645.0,0.25,0.125,0.125,0.10882360510786383,1.0,32.88
603861,白云电器,1,1,1.0,0.0,123739704.0,0.25,0.125,0.125,0.10244309152401691,1.0,32.79
605277,新亚电子,1,1,1.0,0.0,122879577.0,0.25,0.125,0.125,0.101730999397279,1.0,32.78
000506,招金黄金,1,1,1.0,0.0,122781120.0,0.25,0.125,0.125,0.1016494876501507,1.0,32.77
000417,合百集团,2,3,2.0,0.75,171720312.5,0.5,0.375,0.25,0.14216584589510806,0.25,32.76
002878,元隆雅图,1,1,1.0,0.0,111373272.0,0.25,0.125,0.125,0.09220502335148005,1.0,32.63
001360,南矿集团,1,1,1.0,0.0,108807991.0,0.25,0.125,0.125,0.09008124813808677,1.0,32.6
601133,柏诚股份,1,1,1.0,0.0,108624600.0,0.25,0.125,0.125,0.08992942022521508,1.0,32.6
002046,国机精工,1,1,1.0,0.0,106245904.0,0.25,0.125,0.125,0.08796011721123814,1.0,32.57
600962,国投中鲁,1,1,1.0,0.0,105540879.0,0.25,0.125,0.125,0.08737643276504196,1.0,32.56
603757,大元泵业,1,1,1.0,0.0,102287350.0,0.25,0.125,0.125,0.08468286264689263,1.0,32.52
002645,华宏科技,1,1,1.0,0.0,102419676.0,0.25,0.125,0.125,0.08479241426283159,1.0,32.52
003007,直真科技,1,1,1.0,0.0,102642826.0,0.25,0.125,0.125,0.08497715832746572,1.0,32.52
300795,米奥会展,1,1,1.0,0.0,102317150.0,0.25,0.125,0.125,0.08470753382379649,1.0,32.52
000889,中嘉博创,1,1,1.0,0.0,101374650.0,0.25,0.125,0.125,0.08392724576232363,1.0,32.51
603538,美诺华,1,1,1.0,0.0,100381476.0,0.25,0.125,0.125,0.08310500510962841,1.0,32.5
600545,卓郎智能,1,1,1.0,0.0,100970173.0,0.25,0.125,0.125,0.08359238255358055,1.0,32.5
000962,东方钽业,1,1,1.0,0.0,100920011.0,0.25,0.125,0.125,0.0835508538429815,1.0,32.5
600301,华锡有色,1,1,1.0,0.0,98209124.0,0.25,0.125,0.125,0.08130653260998204,1.0,32.47
600539,狮头股份,1,1,1.0,0.0,96811605.0,0.25,0.125,0.125,0.08014953803026693,1.0,32.45
600604,市北高新,1,1,1.0,0.0,96759527.0,0.25,0.125,0.125,0.08010642307889783,1.0,32.45
600378,昊华科技,1,1,1.0,0.0,93969131.0,0.25,0.125,0.125,0.07779627699340007,1.0,32.42
301360,荣旗科技,1,1,1.0,0.0,92434046.0,0.25,0.125,0.125,0.07652539264449178,1.0,32.4
603682,锦和商管,1,1,1.0,0.0,92618637.0,0.25,0.125,0.125,0.07667821402757435,1.0,32.4
